,,Damage function,Damage function,Damage function,Damage function,Damage function,Damage function,Damage function,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation
,,europe,north america,centr&south america,asia,africa,oceania,global,europe,north america,centr&south america,asia,africa,oceania,global
Damage class,"Flood depth, [m]",,,,,,,,,,,,,,
Residential buildings,0.0,0.0,0.20180454348279775,0.0,0.0,0.0,0.0,,,0.16835760469083047,0.0,0.0,0.0,0.08803991828076825,
Residential buildings,0.5,0.25,0.44326985656702733,0.4908859507565592,0.32655650202936004,0.2199254009329045,0.47541811916699134,,,0.14112146418298332,0.20942781418475298,0.2516226257480706,0.042003678198569386,0.14105071202789998,
Residential buildings,1.0,0.4,0.582754693231323,0.7112940666211631,0.49405032354045164,0.37822684609280993,0.6403931243607716,,,0.1374523668480383,0.13540986644556527,0.2154422158357605,0.11429631483645233,0.16352818779400063,
Residential buildings,1.5,0.5,0.6825219115800791,0.842026010706856,0.6165721244538469,0.5305890817622265,0.7146146615077392,,,0.16672518244199905,0.08163024505777527,0.2144689981355457,0.19839622411529556,0.16948424328944306,
Residential buildings,2.0,0.6,0.783957148211158,0.9493690958164642,0.7207117644253294,0.635636732936187,0.7877263475521771,,,0.1407208599477678,0.06085345280861035,0.20732289786403915,0.20782155765731417,0.1668558057878194,
Residential buildings,3.0,0.75,0.8543489222586077,0.9836369770580298,0.8695282125617129,0.8169397798520446,0.9287798842694879,,,0.12913169424589652,0.024070255036082306,0.16753662946055037,0.20524693175329914,0.11287749890761317,
Residential buildings,4.0,0.85,0.9236701008849423,1.0,0.93148708390482,0.9034346883994495,0.9673818525004227,,,0.10207342758529007,0.0,0.12450899388549512,0.14185644132928416,0.0581534051521121,
Residential buildings,5.0,0.95,0.9585227725931244,1.0,0.9836041480130159,0.9571521730123568,0.9827954437588989,,,0.05913469742721525,0.0,0.047803102654985136,0.07620879871657794,0.03589274971973801,
Residential buildings,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,
Commercial buildings,0.0,0.0,0.018404907975460124,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,
Commercial buildings,0.5,0.15,0.23926380368098157,0.6114775866089124,0.37678962318356757,,0.23895357454908572,0.3232969176045094,,,0.0770234352432975,0.24046228510955284,,0.14287820412318483,
Commercial buildings,1.0,0.3,0.37423312883435583,0.8395310944604374,0.5376816186459964,,0.4811996817075454,0.506529104729667,,,0.03592402739649894,0.2405962794043043,,0.2041132058607334,
Commercial buildings,1.5,0.45,0.4662576687116564,0.9235884574511017,0.6593366839515573,,0.6737950914310677,0.6345955803090766,,,0.02687652519168001,0.2436051562608184,,0.19090359415905578,
Commercial buildings,2.0,0.55,0.5521472392638037,0.9919724770642202,0.7628452324986368,,0.8645833333333333,0.7443096564319989,,,0.016055045871559703,0.250253510656856,,0.1780000780274487,
Commercial buildings,3.0,0.75,0.6871165644171779,1.0,0.8833486558294331,,1.0,0.8640930440493222,,,0.0,0.1717036252940153,,0.0,
Commercial buildings,4.0,0.9,0.8220858895705521,1.0,0.9418548948983457,,1.0,0.9327881568937796,,,0.0,0.1124099200347425,,0.0,
Commercial buildings,5.0,1.0,0.9079754601226995,1.0,0.9807593802222822,,1.0,0.9777469680689963,,,0.0,0.05278106365615288,,0.0,
Commercial buildings,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,0.0,0.0,,0.0,
Industrial buildings,0.0,0.0,0.025714285714285714,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,
Industrial buildings,0.5,0.15,0.3228571428571429,0.6670194003527335,0.2831815239036498,0.06268204283360791,,0.2971480219894268,,,0.1744598845525403,0.24332230167591748,,,
Industrial buildings,1.0,0.27,0.5114285714285715,0.8887125220458554,0.4816156531424614,0.2471960461285008,,0.4797905585490779,,,0.09819104203009137,0.2959870708971493,,,
Industrial buildings,1.5,0.4,0.6371428571428571,0.9467372134038801,0.6292188938464128,0.4033299835255354,,0.6032857895837371,,,0.046492654890262934,0.30058335820734117,,,
Industrial buildings,2.0,0.52,0.7400000000000001,1.0,0.7172405880206049,0.49448863261943987,,0.694345844128009,,,0.0,0.2685179074545099,,,
Industrial buildings,3.0,0.7,0.8599999999999999,1.0,0.8566750297600425,0.684652388797364,,0.8202654837114812,,,0.0,0.2344981363754635,,,
Industrial buildings,4.0,0.85,0.937142857142857,1.0,0.9085770039670126,0.9185897858319604,,0.9228619293883661,,,0.0,0.15919786513403172,,,
Industrial buildings,5.0,1.0,0.9800000000000001,1.0,0.9553274630224672,1.0,,0.9870654926044935,,,0.0,0.07945798776767062,,,
Industrial buildings,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,0.0,0.0,,,
Transport,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,,,
Transport,0.5,0.31666666666666665,,0.08771929824561404,0.35751633986928105,,,0.25396743492718726,,,,0.302153830151934,,,
Transport,1.0,0.5416666666666667,,0.1754385964912281,0.5718954248366014,,,0.4296668959981654,,,,0.28148240892351406,,,
Transport,1.5,0.7016666666666667,,0.5964912280701755,0.7333333333333334,,,0.6771637426900585,,,,0.2516611478423584,,,
Transport,2.0,0.8316666666666667,,0.8421052631578947,0.8472222222222223,,,0.8403313840155945,,,,0.1683938285136406,,,
Transport,3.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,4.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,5.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,6.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Infrastructure - roads,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,
Infrastructure - roads,0.5,0.25,,,0.2144369063772049,,,0.23221845318860246,,,,0.06941085737673638,,,
Infrastructure - roads,1.0,0.42,,,0.37275440976933516,,,0.39637720488466754,,,,0.07394393655972636,,,
Infrastructure - roads,1.5,0.55,,,0.6039348710990502,,,0.5769674355495251,,,,0.20581432344927417,,,
Infrastructure - roads,2.0,0.65,,,0.709659090909091,,,0.6798295454545455,,,,0.27055584428363927,,,
Infrastructure - roads,3.0,0.8,,,0.808409090909091,,,0.8042045454545454,,,,0.22124537940109834,,,
Infrastructure - roads,4.0,0.9,,,0.887159090909091,,,0.8935795454545454,,,,0.13351487726763137,,,
Infrastructure - roads,5.0,1.0,,,0.96875,,,0.984375,,,,0.0625,,,
Infrastructure - roads,6.0,1.0,,,1.0,,,1.0,,,,0.0,,,
Agriculture,0.0,0.0,0.018575387611414872,,0.0,0.0,,0.0,,,,0.0,0.0,,
Agriculture,0.5,0.3,0.26779766808978106,,0.135,0.24287356321839082,,0.23641780782704297,,,,0.18894443627691182,0.09597384536040011,,
Agriculture,1.0,0.55,0.4736773774748458,,0.37,0.47183908045977013,,0.466379114483654,,,,0.3510697936308391,0.17508561973223086,,
Agriculture,1.5,0.65,0.5505607847379999,,0.524,0.7413793103448275,,0.6164850237707068,,,,0.4763192206913342,0.2504455007988615,,
Agriculture,2.0,0.75,0.6021613029402708,,0.558,0.9166666666666666,,0.7067069924017344,,,,0.455872789273499,0.14433756729740618,,
Agriculture,3.0,0.85,0.7600570910210638,,0.66,1.0,,0.817514272755266,,,,0.35777087639996635,0.0,,
Agriculture,4.0,0.95,0.8740946024295585,,0.834,1.0,,0.9145236506073896,,,,0.16364595931461248,0.0,,
Agriculture,5.0,1.0,0.954075572089204,,0.9879999999999999,1.0,,0.985518893022301,,,,0.026832815729997503,0.0,,
Agriculture,6.0,1.0,1.0,,1.0,1.0,,1.0,,,,0.0,0.0,,
